Fantasy/NNP	(NNP,1) (root,1) (Fantasy,1) 
hadnt/JJ	(NN,1) (JJ,1) (hadnt,1) (root,1) (amod,1) (anything,1) 
slur/NN	(JJ,1) (NN,1) (strong,1) (slur,1) (nmod:with,1) (root,1) 
refilled/VBD	(refilled,1) (appeared,1) (VBN,1) (root,1) (VBD,1) (conj:and,1) 
off/RB	(RB,1) (advmod,1) (brought,1) (root,1) (VBD,1) (off,1) 
off/RP	(cut,1) (compound:prt,1) (root,1) (VBD,1) (off,1) (RP,1) 
time/NN	(frequented,1) (NN,1) (nmod:in,1) (root,1) (VBD,1) (time,1) 
kept/VBD	(NN,1) (acl:relcl,1) (nmod:in,1) (root,1) (flowed,1) (VBD,2) (place,1) (kept,1) 
Im/NNP	(NNP,1) (Im,1) (root,1) (VBD,1) (lived,1) (nsubj,1) 
flowed/VBD	(root,1) (flowed,1) (VBD,1) 
York/NNP	(NNP,1) (resembled,1) (York,1) (root,1) (VBD,1) (xcomp,1) 
lit/JJ	(JJ,1) (lit,1) (root,1) 
since/IN	(IN,1) (root,1) (writing,1) (VBD,2) (VBG,1) (advcl,1) (died,1) (did,1) (dep,1) (mark,1) (since,1) 
bar/NN	(NN,1) (bar,1) (looked,1) (root,1) (VBD,1) (nsubj,1) 
glass/NN	(scrattered,1) (NN,1) (tables,1) (NNS,1) (glass,1) (VBN,1) (nsubjpass,1) (root,1) (compound,1) 
after/IN	(NN,1) (VBN,1) (death,1) (nmod:after,1) (IN,1) (root,1) (after,1) (stumbled,1) (case,1) 
talk/NN	(JJ,1) (NN,1) (Easy,1) (root,1) (nmod:to,1) (talk,1) 
