zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
guys/NNS	(NNS,1) (VBP,1) (want,1) (root,1) (guys,1) (VB,1) (nsubj,1) (xcomp,1) (stay,1) 
why/WRB	(NN,1) (advmod,1) (WRB,1) (root,1) (why,1) (floor,1) 
shoulder/NN	(NN,2) (root,1) (gave,1) (VBD,1) (dobj,1) (shoulder,1) (nmod:on,1) (rub,1) 
Transfiguration/NNP	(nodded,1) (NNP,1) (root,1) (VBD,1) (Transfiguration,1) (nmod:to,1) 
Remus/NNP	(NNP,1) (watched,1) (nmod:about,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (Remus,1) (thinking,1) 
beamed/VBN	(VBN,1) (root,1) (beamed,1) 
briefly/RB	(RB,1) (advmod,1) (shook,1) (briefly,1) (root,1) (swept,1) (VBD,2) (conj:and,1) 
serving/VBG	(JJ,1) (scooped,1) (root,1) (generous,1) (VBD,1) (VBG,1) (acl,1) (dobj,1) (serving,1) 
ripping/VBG	(root,1) (ripping,1) (VBG,1) 
Remus/NNS	(NNS,1) (root,1) (VBD,1) (let,1) (Remus,1) (nsubj,1) 
enjoy/VB	(acl:relcl,1) (NNP,1) (nmod:including,1) (scooped,1) (VBN,1) (learned,1) (root,1) (VBD,1) (Krecher,1) (enjoy,1) (VB,1) (xcomp,1) 
room/NN	(NN,2) (nmod:in,1) (root,1) (evening,1) (room,1) 
five/CD	(CD,1) (root,1) (go,1) (VB,1) (nsubj,1) (five,1) 
around/IN	(silk,1) (NN,2) (falling,1) (VBN,1) (nmod:of,1) (IN,1) (nmod:around,1) (dressed,1) (acl,1) (around,1) (appos,1) (NNS,2) (skirts,1) (nmod:in,1) (root,1) (dresses,1) (chairs,1) (VBG,1) (case,1) 
She/PRP	(She,1) (root,1) (gave,1) (VBD,1) (nsubj,1) (PRP,1) 
is/VBZ	(root,1) (is,1) (VBZ,1) 
leaving/VBG	(root,1) (VBD,1) (pinched,1) (VBG,1) (leaving,1) (xcomp,1) 
pulled/VBD	(JJ,1) (pulled,1) (root,1) (VBD,1) (advcl,1) (long,1) 
bruise/NN	(NN,1) (root,1) (VBD,1) (pinched,1) (VBG,1) (leaving,1) (dobj,1) (xcomp,1) (bruise,1) 
point/NN	(RB,1) (NN,1) (think,1) (advmod,1) (nmod:npmod,1) (root,1) (VB,1) (really,1) (point,1) 
Tonks/NNS	(NNS,1) (root,1) (Tonks,1) (VBD,1) (blushed,1) (nsubj,1) 
very/RB	(JJ,1) (RB,1) (very,1) (advmod,1) (found,1) (VBN,1) (root,1) (good,1) (xcomp,1) 
apparently/RB	(RB,1) (advmod,1) (apparently,1) (root,1) (VBD,1) (had,1) 
he/PRP	(root,1) (VBD,1) (had,1) (nsubj,1) (he,1) (PRP,1) 
later/RB	(RB,1) (advmod,1) (later,1) (moved,1) (root,1) (VBD,1) 
Right/RB	(RB,1) (took,1) (advmod,1) (left,1) (root,1) (Right,1) (VBD,2) (conj:and,1) 
fire/NN	(NN,2) (root,1) (warming,1) (VBD,1) (fire,1) (had,1) (dobj,1) (nmod:on,1) 
hissed/VBD	(hissed,1) (root,1) (VBD,1) 
name/NN	(NN,1) (nmod:in,1) (root,1) (name,1) (VB,1) (put,1) 
hard/JJ	(JJ,1) (root,1) (VBD,1) (pinched,1) (hard,1) (xcomp,1) 
Lockhart/NNP	(nodded,1) (NNP,1) (made,1) (root,1) (Lockhart,1) (VBD,2) (nmod:to,1) (conj:and,1) 
wand/JJ	(NN,1) (JJ,1) (root,1) (wand,1) (gave,1) (VBD,1) (back,1) (dobj,1) (amod,1) 
guilt/NN	(NN,2) (guilt,1) (nmod:of,1) (were,1) (root,1) (felt,1) (VBD,2) (conj:and,1) (dobj,1) (pang,1) 
boy/NN	(NN,1) (root,1) (VBD,1) (nsubj,1) (boy,1) (ran,1) 
considered/VBD	(considered,1) (root,1) (VBD,2) (conj:and,1) (smirked,1) 
Petal/NNP	(NNP,1) (ccomp,1) (root,1) (loves,1) (VBD,1) (said,1) (nsubj,1) (Petal,1) (VBZ,1) 
distracted/VBN	(squawked,1) (conj:but,1) (VBN,1) (root,1) (VBD,1) (distracted,1) 
Rodolphus/NNP	(NN,1) (NNP,1) (NNS,1) (names,1) (nmod:poss,1) (root,1) (Rodolphus,1) (list,1) (nsubj,1) 
somewhere/RB	(RB,1) (threw,1) (root,1) (VBD,1) (advcl,2) (VB,1) (somewhere,1) (ran,1) 
nod/NN	(NN,1) (nod,1) (root,1) (gave,1) (VBD,1) (dobj,1) 
reason/NN	(NN,1) (took,1) (reason,1) (root,1) (VBD,1) (nmod:for,1) 
new/JJ	(NN,1) (JJ,1) (new,1) (root,1) (one,1) (ripping,1) (VBG,1) (nsubj,1) (amod,1) 
ca/MD	(nodded,1) (imagine,1) (ccomp,1) (aux,1) (root,1) (MD,1) (VBD,1) (VB,1) (ca,1) 
made/VBD	(nodded,1) (made,1) (root,1) (VBD,2) (conj:and,1) 
long/JJ	(JJ,1) (root,1) (long,1) 
book/NN	(NN,1) (asked,1) (putting,1) (root,1) (book,1) (VBD,1) (VBG,1) (dobj,1) (xcomp,1) 
Weasley/NNP	(NNP,1) (Weasley,1) (root,1) (VBD,1) (let,1) (nsubj,1) 
get/VB	(root,1) (get,1) (go,1) (conj:and,1) (VB,2) 
minded/VBD	(NN,1) (root,1) (VBD,1) (minded,1) (holiday,1) (dep,1) 
her/PRP$	(see,1) (NNS,1) (VBN,1) (PRP$,1) (nmod:poss,1) (her,1) (nmod:with,1) (root,1) (parataxis,1) (VB,1) (zoomed,1) (eyes,1) 
But/CC	(But,1) (CC,1) (cc,1) (root,1) (VBD,1) (said,1) 
stone/NN	(NN,2) (moved,1) (root,1) (VBD,1) (nsubj,1) (compound,1) (gargoyle,1) (stone,1) 
moments/NNS	(took,1) (NNS,1) (moments,1) (root,1) (VBD,1) (dobj,1) 
hot/JJ	(JJ,1) (root,1) (hot,1) 
earth/NN	(NN,2) (advmod,1) (WRB,1) (root,1) (earth,1) (why,1) (floor,1) (nmod:on,1) 
us/PRP	(love,1) (move,1) (ccomp,1) (VBP,3) (watch,1) (root,1) (parataxis,1) (dobj,1) (us,1) (PRP,1) 
forward/RB	(RB,1) (advmod,1) (stopped,1) (ccomp,1) (forward,1) (root,1) (VBD,1) (VBG,1) (moving,1) 
pins/NNS	(NN,1) (acl:relcl,1) (think,1) (NNS,1) (VBN,1) (nmod:after,1) (nmod:with,1) (root,1) (pins,1) (VB,1) (everything,1) (done,1) 
rather/RB	(RB,1) (advmod,1) (asked,1) (rather,1) (root,1) (VBD,2) (squished,1) (dep,1) 
